Date,Open,High,Low,Close,Adj Close,Volume
2004-12-31,1213.550049,1217.329956,1211.650024,1211.920044,1211.920044,786900000
2005-01-03,1211.920044,1217.800049,1200.319946,1202.079956,1202.079956,1510800000
2005-01-04,1202.079956,1205.839966,1185.390015,1188.050049,1188.050049,1721000000
2005-01-05,1188.050049,1192.729980,1183.719971,1183.739990,1183.739990,1738900000
2005-01-06,1183.739990,1191.630005,1183.270020,1187.890015,1187.890015,1569100000
2005-01-07,1187.890015,1192.199951,1182.160034,1186.189941,1186.189941,1477900000
2005-01-10,1186.189941,1194.780029,1184.800049,1190.250000,1190.250000,1490400000
2005-01-11,1190.250000,1190.250000,1180.430054,1182.989990,1182.989990,1488800000
2005-01-12,1182.989990,1187.920044,1175.640015,1187.699951,1187.699951,1562100000
2005-01-13,1187.699951,1187.699951,1175.810059,1177.449951,1177.449951,1510300000
2005-01-14,1177.449951,1185.209961,1177.449951,1184.520020,1184.520020,1335400000
2005-01-18,1184.520020,1195.979980,1180.099976,1195.979980,1195.979980,1596800000
2005-01-19,1195.979980,1195.979980,1184.410034,1184.630005,1184.630005,1498700000
2005-01-20,1184.630005,1184.630005,1173.420044,1175.410034,1175.410034,1692000000
2005-01-21,1175.410034,1179.449951,1167.819946,1167.869995,1167.869995,1643500000
2005-01-24,1167.869995,1173.030029,1163.750000,1163.750000,1163.750000,1494600000
2005-01-25,1163.750000,1174.300049,1163.750000,1168.410034,1168.410034,1610400000
2005-01-26,1168.410034,1175.959961,1168.410034,1174.069946,1174.069946,1635900000
2005-01-27,1174.069946,1177.500000,1170.150024,1174.550049,1174.550049,1600600000
2005-01-28,1174.550049,1175.609985,1166.250000,1171.359985,1171.359985,1641800000
2005-01-31,1171.359985,1182.069946,1171.359985,1181.270020,1181.270020,1679800000
2005-02-01,1181.270020,1190.390015,1180.949951,1189.410034,1189.410034,1681980000
2005-02-02,1189.410034,1195.250000,1188.920044,1193.189941,1193.189941,1561740000
2005-02-03,1193.189941,1193.189941,1185.640015,1189.890015,1189.890015,1554460000
2005-02-04,1189.890015,1203.469971,1189.670044,1203.030029,1203.030029,1648160000
2005-02-07,1203.030029,1204.150024,1199.270020,1201.719971,1201.719971,1347270000
2005-02-08,1201.719971,1205.109985,1200.160034,1202.300049,1202.300049,1416170000
2005-02-09,1202.300049,1203.829956,1191.540039,1191.989990,1191.989990,1511040000
2005-02-10,1191.989990,1198.750000,1191.540039,1197.010010,1197.010010,1491670000
2005-02-11,1197.010010,1208.380005,1193.280029,1205.300049,1205.300049,1562300000
2005-02-14,1205.300049,1206.930054,1203.589966,1206.140015,1206.140015,1290180000
